Service ID Code,Team Name,Pathway,Division,Location
1651,Southwark Team 6,Pathway 3,Division 1,Site 11
1632,Southwark Team 5,Pathway 3,Division 1,Site 8
1080,Southwark Team 5,Pathway 1,Division 1,Site 10
1973,Southwark Team 16,Pathway 3,Division 2,Site 8
1093,Lambeth Team 8,Pathway 1,Division 2,Site 11
1180,Southwark Team 9,Pathway 1,Division 2,Site 11
1794,Lambeth Team 11,Pathway 1,Division 2,Site 7
1832,Lewisham Team 8,Pathway 3,Division 1,Site 2
1361,Lewisham Team 2,Pathway 2,Division 1,Site 3
1576,Croydon Team 2,Pathway 1,Division 2,Site 9
1547,Lambeth Team 15,Pathway 2,Division 1,Site 2
1473,Lambeth Team 4,Pathway 1,Division 2,Site 7
1344,Lambeth Team 1,Pathway 3,Division 1,Site 1
1716,Lewisham Team 1,Pathway 1,Division 1,Site 3
1833,Lambeth Team 11,Pathway 3,Division 2,Site 1
1886,Southwark Team 15,Pathway 2,Division 1,Site 6
1742,Lewisham Team 6,Pathway 3,Division 1,Site 4
1869,Southwark Team 4,Pathway 2,Division 1,Site 1
1986,Lewisham Team 5,Pathway 3,Division 2,Site 5
1247,Lewisham Team 3,Pathway 1,Division 1,Site 4
1881,Lambeth Team 7,Pathway 1,Division 1,Site 11
1271,Croydon Team 5,Pathway 3,Division 1,Site 10
1262,Southwark Team 5,Pathway 2,Division 2,Site 11
1467,Lambeth Team 12,Pathway 2,Division 1,Site 10
1878,Lewisham Team 1,Pathway 2,Division 1,Site 2
1501,Lambeth Team 2,Pathway 3,Division 2,Site 7
1395,Southwark Team 7,Pathway 3,Division 1,Site 8
1469,Croydon Team 1,Pathway 3,Division 1,Site 4
1208,Croydon Team 8,Pathway 3,Division 1,Site 9
1586,Lewisham Team 9,Pathway 2,Division 2,Site 3
1275,Southwark Team 9,Pathway 2,Division 1,Site 6
1111,Southwark Team 16,Pathway 3,Division 1,Site 11
1926,Lambeth Team 4,Pathway 3,Division 2,Site 7
1693,Southwark Team 9,Pathway 2,Division 2,Site 7
1390,Croydon Team 3,Pathway 2,Division 1,Site 6
1332,Southwark Team 2,Pathway 1,Division 1,Site 9
1877,Lewisham Team 9,Pathway 3,Division 1,Site 1
1146,Southwark Team 4,Pathway 1,Division 2,Site 9
1565,Lewisham Team 9,Pathway 2,Division 1,Site 9
1574,Lewisham Team 7,Pathway 2,Division 2,Site 4
1776,Lewisham Team 3,Pathway 3,Division 1,Site 5
1890,Croydon Team 7,Pathway 1,Division 2,Site 3
1057,Lewisham Team 2,Pathway 2,Division 2,Site 7
1108,Lambeth Team 6,Pathway 1,Division 2,Site 2
1534,Lewisham Team 5,Pathway 1,Division 1,Site 8
1106,Lambeth Team 13,Pathway 1,Division 2,Site 9
1815,Croydon Team 7,Pathway 1,Division 2,Site 6
1825,Lambeth Team 9,Pathway 1,Division 1,Site 9
1285,Lewisham Team 4,Pathway 3,Division 2,Site 6
1043,Lewisham Team 3,Pathway 3,Division 2,Site 3
1442,Southwark Team 1,Pathway 1,Division 1,Site 10
1414,Southwark Team 3,Pathway 3,Division 2,Site 3
1832,Southwark Team 3,Pathway 2,Division 1,Site 2
1329,Lewisham Team 7,Pathway 1,Division 1,Site 5
1114,Croydon Team 3,Pathway 3,Division 1,Site 4
1771,Lewisham Team 1,Pathway 3,Division 2,Site 6
1020,Lambeth Team 7,Pathway 2,Division 1,Site 5
1770,Southwark Team 8,Pathway 2,Division 2,Site 6
1898,Southwark Team 8,Pathway 2,Division 2,Site 4
1090,Croydon Team 6,Pathway 2,Division 2,Site 3
1323,Southwark Team 3,Pathway 1,Division 2,Site 1
1774,Lambeth Team 7,Pathway 3,Division 1,Site 5
1978,Croydon Team 2,Pathway 3,Division 1,Site 6
1886,Lewisham Team 9,Pathway 2,Division 2,Site 5
1259,Southwark Team 9,Pathway 3,Division 2,Site 5
1012,Lambeth Team 14,Pathway 3,Division 1,Site 6
1975,Lambeth Team 5,Pathway 3,Division 1,Site 4
1226,Croydon Team 6,Pathway 2,Division 1,Site 4
1618,Southwark Team 7,Pathway 3,Division 2,Site 11
1966,Southwark Team 7,Pathway 3,Division 1,Site 8
1030,Lambeth Team 10,Pathway 3,Division 1,Site 11
1158,Southwark Team 11,Pathway 1,Division 1,Site 8
1836,Lambeth Team 15,Pathway 1,Division 2,Site 3
1214,Lewisham Team 7,Pathway 3,Division 1,Site 7
1372,Croydon Team 1,Pathway 3,Division 1,Site 5
1016,Croydon Team 2,Pathway 3,Division 1,Site 5
1805,Lambeth Team 1,Pathway 3,Division 2,Site 3
1271,Lambeth Team 14,Pathway 3,Division 2,Site 2
1791,Lewisham Team 5,Pathway 3,Division 1,Site 3
1888,Southwark Team 16,Pathway 1,Division 2,Site 7
1679,Southwark Team 13,Pathway 2,Division 2,Site 3
1488,Lewisham Team 3,Pathway 3,Division 1,Site 11
1583,Lewisham Team 4,Pathway 3,Division 2,Site 2
1754,Lewisham Team 8,Pathway 3,Division 1,Site 4
1268,Southwark Team 8,Pathway 2,Division 2,Site 5
1587,Croydon Team 6,Pathway 3,Division 2,Site 7
1238,Croydon Team 4,Pathway 3,Division 1,Site 1
1245,Southwark Team 4,Pathway 2,Division 1,Site 8
1124,Southwark Team 3,Pathway 3,Division 1,Site 10
1587,Lambeth Team 15,Pathway 2,Division 2,Site 3
1049,Lambeth Team 1,Pathway 2,Division 2,Site 11
1245,Southwark Team 10,Pathway 3,Division 2,Site 6
1596,Southwark Team 11,Pathway 1,Division 2,Site 4
1725,Lewisham Team 4,Pathway 1,Division 1,Site 5
1833,Lambeth Team 15,Pathway 3,Division 1,Site 10
1468,Lambeth Team 4,Pathway 2,Division 1,Site 6
1378,Lambeth Team 15,Pathway 2,Division 1,Site 2
1106,Croydon Team 2,Pathway 2,Division 1,Site 3
1443,Lewisham Team 7,Pathway 3,Division 2,Site 8
1425,Croydon Team 5,Pathway 1,Division 2,Site 8
1430,Lewisham Team 8,Pathway 2,Division 1,Site 1
1388,Lambeth Team 1,Pathway 2,Division 2,Site 10
1155,Southwark Team 7,Pathway 3,Division 2,Site 8
1678,Lambeth Team 11,Pathway 1,Division 2,Site 11
1426,Croydon Team 6,Pathway 1,Division 1,Site 2
1818,Lewisham Team 7,Pathway 3,Division 2,Site 10
1503,Lewisham Team 6,Pathway 1,Division 1,Site 10
1245,Southwark Team 11,Pathway 3,Division 2,Site 8
1856,Southwark Team 12,Pathway 2,Division 2,Site 10
1518,Lambeth Team 13,Pathway 3,Division 1,Site 5
1014,Lambeth Team 7,Pathway 2,Division 1,Site 1
1325,Lambeth Team 8,Pathway 3,Division 1,Site 8
1055,Croydon Team 6,Pathway 2,Division 1,Site 5
1258,Southwark Team 8,Pathway 2,Division 2,Site 1
1289,Southwark Team 11,Pathway 3,Division 1,Site 4
1674,Croydon Team 4,Pathway 2,Division 1,Site 1
1618,Southwark Team 12,Pathway 1,Division 2,Site 9
1853,Lambeth Team 9,Pathway 3,Division 2,Site 10
1791,Croydon Team 6,Pathway 1,Division 2,Site 2
1466,Lewisham Team 7,Pathway 2,Division 1,Site 8
1275,Croydon Team 7,Pathway 2,Division 1,Site 4
1861,Lambeth Team 13,Pathway 2,Division 2,Site 9
1102,Lambeth Team 7,Pathway 3,Division 2,Site 2
1645,Lambeth Team 11,Pathway 2,Division 2,Site 3
1266,Lambeth Team 10,Pathway 1,Division 1,Site 2
1055,Lewisham Team 2,Pathway 1,Division 2,Site 10
1807,Lewisham Team 8,Pathway 3,Division 1,Site 5
1822,Lambeth Team 3,Pathway 1,Division 1,Site 11
1546,Croydon Team 1,Pathway 3,Division 2,Site 1
1382,Southwark Team 14,Pathway 3,Division 1,Site 3
1036,Lewisham Team 6,Pathway 2,Division 1,Site 1
1974,Croydon Team 5,Pathway 1,Division 1,Site 10
1268,Southwark Team 1,Pathway 1,Division 1,Site 8
1986,Southwark Team 1,Pathway 1,Division 1,Site 4
1173,Croydon Team 4,Pathway 2,Division 1,Site 3
1323,Croydon Team 3,Pathway 3,Division 2,Site 8
1590,Lambeth Team 7,Pathway 1,Division 1,Site 9
1615,Lambeth Team 15,Pathway 1,Division 2,Site 8
1275,Lewisham Team 7,Pathway 1,Division 1,Site 6
1054,Lambeth Team 6,Pathway 1,Division 2,Site 3
1710,Southwark Team 3,Pathway 2,Division 2,Site 8
1793,Southwark Team 4,Pathway 3,Division 2,Site 5
1667,Lambeth Team 2,Pathway 1,Division 1,Site 5
1661,Lambeth Team 3,Pathway 1,Division 1,Site 9
1236,Croydon Team 6,Pathway 3,Division 1,Site 1
1172,Southwark Team 10,Pathway 2,Division 1,Site 7
1347,Lewisham Team 5,Pathway 2,Division 1,Site 8
1529,Southwark Team 13,Pathway 2,Division 1,Site 11
1638,Lewisham Team 7,Pathway 2,Division 2,Site 10
1046,Southwark Team 13,Pathway 1,Division 1,Site 3
1533,Lewisham Team 1,Pathway 3,Division 1,Site 8
1465,Croydon Team 1,Pathway 3,Division 1,Site 1
1951,Lewisham Team 5,Pathway 3,Division 2,Site 8
1799,Lewisham Team 8,Pathway 2,Division 2,Site 7
1513,Lewisham Team 5,Pathway 2,Division 2,Site 4
1065,Croydon Team 3,Pathway 3,Division 2,Site 11
1046,Southwark Team 8,Pathway 1,Division 1,Site 7
1421,Lambeth Team 2,Pathway 2,Division 1,Site 10
1721,Lambeth Team 10,Pathway 1,Division 2,Site 11
1473,Lambeth Team 6,Pathway 3,Division 2,Site 7
1594,Lambeth Team 8,Pathway 2,Division 1,Site 10
1473,Lambeth Team 15,Pathway 1,Division 2,Site 1
1028,Croydon Team 5,Pathway 2,Division 2,Site 3
1377,Southwark Team 14,Pathway 3,Division 2,Site 7
1116,Southwark Team 13,Pathway 3,Division 2,Site 11
1426,Southwark Team 7,Pathway 3,Division 1,Site 5
1847,Lewisham Team 3,Pathway 1,Division 2,Site 9
1287,Southwark Team 5,Pathway 2,Division 1,Site 7
1309,Lewisham Team 2,Pathway 2,Division 2,Site 3
1248,Lambeth Team 15,Pathway 2,Division 2,Site 1
1577,Lambeth Team 7,Pathway 3,Division 1,Site 5
1631,Southwark Team 9,Pathway 1,Division 1,Site 10
1148,Southwark Team 11,Pathway 3,Division 2,Site 5
1871,Lambeth Team 10,Pathway 3,Division 2,Site 7
1722,Lambeth Team 15,Pathway 1,Division 2,Site 1
1940,Lewisham Team 6,Pathway 3,Division 1,Site 10
1089,Southwark Team 9,Pathway 3,Division 2,Site 2
1075,Lambeth Team 11,Pathway 2,Division 2,Site 11
1848,Lewisham Team 9,Pathway 1,Division 1,Site 6
1657,Southwark Team 6,Pathway 1,Division 2,Site 8
1551,Lewisham Team 9,Pathway 2,Division 2,Site 4
1705,Lewisham Team 7,Pathway 1,Division 2,Site 3
1999,Lambeth Team 15,Pathway 2,Division 1,Site 3
1631,Lambeth Team 15,Pathway 3,Division 2,Site 3
1901,Lewisham Team 6,Pathway 1,Division 2,Site 2
1294,Croydon Team 5,Pathway 1,Division 2,Site 1
1492,Lambeth Team 14,Pathway 3,Division 2,Site 5
1702,Croydon Team 3,Pathway 3,Division 1,Site 10
1847,Southwark Team 6,Pathway 1,Division 2,Site 5
1295,Croydon Team 4,Pathway 1,Division 2,Site 5
1211,Southwark Team 5,Pathway 1,Division 2,Site 4
1642,Lewisham Team 2,Pathway 2,Division 2,Site 3
1014,Lambeth Team 3,Pathway 1,Division 1,Site 3
1620,Lewisham Team 9,Pathway 1,Division 2,Site 2
1287,Southwark Team 8,Pathway 3,Division 2,Site 5
1833,Croydon Team 4,Pathway 3,Division 1,Site 4
1129,Croydon Team 7,Pathway 2,Division 2,Site 6
1301,Southwark Team 8,Pathway 3,Division 1,Site 2
1909,Southwark Team 12,Pathway 1,Division 2,Site 2
1918,Lewisham Team 4,Pathway 1,Division 1,Site 8
1629,Southwark Team 10,Pathway 2,Division 1,Site 6
1108,Lewisham Team 1,Pathway 3,Division 2,Site 3
1082,Southwark Team 7,Pathway 3,Division 1,Site 5
1035,Lambeth Team 8,Pathway 3,Division 1,Site 3
1347,Lewisham Team 7,Pathway 2,Division 2,Site 11
1534,Southwark Team 3,Pathway 3,Division 2,Site 2
1800,Southwark Team 13,Pathway 3,Division 2,Site 3
1980,Southwark Team 13,Pathway 3,Division 2,Site 1
1805,Lambeth Team 11,Pathway 1,Division 2,Site 7
1003,Lambeth Team 12,Pathway 2,Division 2,Site 6
1883,Lambeth Team 2,Pathway 1,Division 2,Site 5
1293,Lewisham Team 6,Pathway 2,Division 2,Site 6
1370,Lambeth Team 4,Pathway 3,Division 2,Site 8
1119,Croydon Team 1,Pathway 1,Division 1,Site 3
1020,Croydon Team 5,Pathway 3,Division 1,Site 3
1275,Croydon Team 5,Pathway 3,Division 1,Site 5
1645,Croydon Team 7,Pathway 2,Division 1,Site 5
1017,Lewisham Team 3,Pathway 3,Division 1,Site 11
1910,Southwark Team 8,Pathway 1,Division 1,Site 1
1035,Lambeth Team 13,Pathway 2,Division 1,Site 4
1270,Lambeth Team 7,Pathway 2,Division 2,Site 9
1285,Lewisham Team 1,Pathway 1,Division 1,Site 8
1792,Southwark Team 8,Pathway 3,Division 1,Site 3
1402,Lambeth Team 8,Pathway 3,Division 1,Site 5
1670,Croydon Team 7,Pathway 3,Division 1,Site 5
1309,Croydon Team 7,Pathway 3,Division 1,Site 7
1890,Lewisham Team 6,Pathway 3,Division 2,Site 8
1915,Lewisham Team 3,Pathway 2,Division 1,Site 9
1702,Croydon Team 8,Pathway 2,Division 1,Site 7
1067,Southwark Team 14,Pathway 1,Division 2,Site 2
1599,Lewisham Team 6,Pathway 3,Division 1,Site 8
1628,Southwark Team 8,Pathway 3,Division 2,Site 8
1775,Lewisham Team 7,Pathway 3,Division 2,Site 11
1475,Southwark Team 14,Pathway 1,Division 2,Site 2
1426,Croydon Team 4,Pathway 3,Division 1,Site 6
1319,Lambeth Team 5,Pathway 2,Division 1,Site 10
1555,Lewisham Team 9,Pathway 3,Division 2,Site 1
1983,Lambeth Team 11,Pathway 1,Division 1,Site 11
1048,Lambeth Team 14,Pathway 2,Division 1,Site 7
1593,Croydon Team 2,Pathway 2,Division 2,Site 10
1529,Lambeth Team 2,Pathway 2,Division 2,Site 2
1520,Lewisham Team 4,Pathway 3,Division 1,Site 5
1517,Croydon Team 5,Pathway 1,Division 2,Site 7
1328,Lewisham Team 4,Pathway 1,Division 2,Site 10
1893,Croydon Team 2,Pathway 3,Division 1,Site 11
1014,Southwark Team 13,Pathway 1,Division 1,Site 9
1987,Lambeth Team 8,Pathway 2,Division 2,Site 1
1693,Lewisham Team 1,Pathway 2,Division 1,Site 9
1021,Lambeth Team 4,Pathway 1,Division 1,Site 11
1366,Croydon Team 5,Pathway 1,Division 1,Site 5
1806,Lambeth Team 7,Pathway 3,Division 1,Site 6
1972,Lewisham Team 8,Pathway 3,Division 1,Site 8
1522,Croydon Team 8,Pathway 3,Division 1,Site 11
1693,Southwark Team 12,Pathway 3,Division 2,Site 2
1959,Lewisham Team 6,Pathway 3,Division 2,Site 7
1442,Southwark Team 2,Pathway 3,Division 2,Site 4
1421,Lambeth Team 10,Pathway 2,Division 2,Site 9
1457,Lambeth Team 4,Pathway 1,Division 2,Site 6
1017,Southwark Team 8,Pathway 3,Division 1,Site 7
1853,Lambeth Team 14,Pathway 2,Division 1,Site 11
1587,Lambeth Team 5,Pathway 1,Division 2,Site 6
1624,Lambeth Team 2,Pathway 1,Division 1,Site 11
1049,Croydon Team 6,Pathway 1,Division 2,Site 8
1915,Southwark Team 9,Pathway 3,Division 1,Site 6
1431,Southwark Team 3,Pathway 3,Division 2,Site 7
1677,Southwark Team 12,Pathway 3,Division 1,Site 8
1862,Southwark Team 9,Pathway 1,Division 2,Site 1
1559,Southwark Team 14,Pathway 1,Division 1,Site 10
1598,Lambeth Team 11,Pathway 2,Division 2,Site 4
1943,Croydon Team 8,Pathway 2,Division 1,Site 6
1167,Southwark Team 3,Pathway 2,Division 1,Site 1
1833,Croydon Team 8,Pathway 2,Division 2,Site 4
1840,Lambeth Team 4,Pathway 1,Division 2,Site 6
1101,Lewisham Team 2,Pathway 3,Division 2,Site 7
1373,Lambeth Team 14,Pathway 3,Division 2,Site 6
1197,Croydon Team 4,Pathway 3,Division 2,Site 11
1043,Croydon Team 2,Pathway 3,Division 2,Site 4
1872,Lewisham Team 1,Pathway 2,Division 2,Site 7
1848,Lambeth Team 4,Pathway 1,Division 2,Site 10
1466,Southwark Team 5,Pathway 3,Division 1,Site 2
1440,Southwark Team 6,Pathway 1,Division 1,Site 6
1894,Lambeth Team 3,Pathway 2,Division 1,Site 5
1198,Southwark Team 10,Pathway 2,Division 1,Site 2
1336,Lambeth Team 4,Pathway 3,Division 2,Site 9
1064,Croydon Team 7,Pathway 3,Division 1,Site 7
1021,Lambeth Team 11,Pathway 2,Division 1,Site 3
1519,Southwark Team 1,Pathway 2,Division 2,Site 7
1029,Lewisham Team 5,Pathway 1,Division 1,Site 11
1427,Lambeth Team 6,Pathway 2,Division 2,Site 11
1316,Southwark Team 16,Pathway 1,Division 1,Site 6
1946,Lewisham Team 9,Pathway 2,Division 1,Site 7
1466,Lambeth Team 13,Pathway 1,Division 2,Site 4
1074,Southwark Team 8,Pathway 2,Division 2,Site 10
1085,Lambeth Team 4,Pathway 2,Division 1,Site 8
1445,Lewisham Team 6,Pathway 1,Division 1,Site 8
1488,Croydon Team 2,Pathway 1,Division 1,Site 7
1732,Lewisham Team 6,Pathway 3,Division 2,Site 7
1327,Croydon Team 4,Pathway 3,Division 2,Site 10
1921,Lewisham Team 2,Pathway 2,Division 2,Site 8
1999,Croydon Team 2,Pathway 2,Division 2,Site 1
1452,Southwark Team 14,Pathway 1,Division 2,Site 6
1660,Lewisham Team 6,Pathway 2,Division 2,Site 2
1200,Southwark Team 4,Pathway 3,Division 1,Site 1
1767,Southwark Team 5,Pathway 1,Division 2,Site 10
1441,Lewisham Team 1,Pathway 2,Division 2,Site 7
1432,Croydon Team 4,Pathway 1,Division 1,Site 6
1899,Southwark Team 1,Pathway 3,Division 1,Site 5
1996,Lambeth Team 5,Pathway 3,Division 2,Site 5
1154,Croydon Team 6,Pathway 3,Division 2,Site 9
1361,Lambeth Team 12,Pathway 2,Division 2,Site 9
1805,Croydon Team 5,Pathway 2,Division 2,Site 6
1631,Southwark Team 6,Pathway 2,Division 1,Site 3
1483,Lambeth Team 14,Pathway 2,Division 1,Site 7
1270,Lewisham Team 6,Pathway 2,Division 1,Site 4
1877,Southwark Team 7,Pathway 2,Division 2,Site 5
1850,Southwark Team 15,Pathway 3,Division 1,Site 7
1617,Southwark Team 8,Pathway 3,Division 2,Site 7
1255,Lambeth Team 5,Pathway 2,Division 1,Site 10
1516,Southwark Team 14,Pathway 3,Division 2,Site 8
1121,Southwark Team 15,Pathway 1,Division 2,Site 1
1533,Southwark Team 3,Pathway 2,Division 1,Site 5
1616,Croydon Team 6,Pathway 1,Division 1,Site 9
1995,Lambeth Team 1,Pathway 2,Division 2,Site 7
1655,Lewisham Team 8,Pathway 2,Division 1,Site 11
1694,Southwark Team 2,Pathway 3,Division 2,Site 2
1792,Lambeth Team 3,Pathway 1,Division 2,Site 1
1175,Croydon Team 2,Pathway 3,Division 1,Site 8
1378,Lambeth Team 7,Pathway 2,Division 1,Site 9
1740,Southwark Team 12,Pathway 1,Division 2,Site 10
1017,Southwark Team 13,Pathway 2,Division 2,Site 5
1820,Croydon Team 4,Pathway 3,Division 2,Site 11
1026,Southwark Team 16,Pathway 2,Division 2,Site 6
1289,Lambeth Team 15,Pathway 2,Division 2,Site 2
1894,Croydon Team 8,Pathway 3,Division 2,Site 11
1063,Lambeth Team 8,Pathway 2,Division 1,Site 5
1295,Lambeth Team 6,Pathway 1,Division 1,Site 4
1360,Southwark Team 13,Pathway 3,Division 1,Site 8
1365,Lambeth Team 4,Pathway 2,Division 2,Site 8
1537,Southwark Team 15,Pathway 3,Division 2,Site 5
1552,Croydon Team 3,Pathway 2,Division 1,Site 11
1347,Southwark Team 2,Pathway 3,Division 1,Site 8
1198,Lewisham Team 3,Pathway 3,Division 1,Site 6
1769,Lambeth Team 6,Pathway 1,Division 2,Site 10
1315,Lewisham Team 5,Pathway 3,Division 2,Site 6
1201,Lewisham Team 4,Pathway 1,Division 2,Site 4
1492,Lewisham Team 8,Pathway 3,Division 1,Site 10
1399,Lewisham Team 8,Pathway 3,Division 1,Site 11
1947,Southwark Team 1,Pathway 2,Division 1,Site 3
1687,Lambeth Team 2,Pathway 2,Division 2,Site 9
1065,Lambeth Team 8,Pathway 2,Division 1,Site 5
1731,Lambeth Team 15,Pathway 3,Division 1,Site 10
1605,Southwark Team 12,Pathway 3,Division 2,Site 10
1276,Southwark Team 1,Pathway 1,Division 2,Site 4
1277,Lambeth Team 1,Pathway 1,Division 1,Site 6
1830,Lambeth Team 10,Pathway 1,Division 2,Site 4
1872,Lambeth Team 7,Pathway 2,Division 1,Site 6
1986,Croydon Team 8,Pathway 2,Division 2,Site 10
1594,Lambeth Team 10,Pathway 1,Division 2,Site 8
1858,Lambeth Team 12,Pathway 3,Division 2,Site 8
1367,Southwark Team 2,Pathway 2,Division 2,Site 6
1974,Croydon Team 5,Pathway 2,Division 2,Site 1
1474,Lambeth Team 12,Pathway 1,Division 2,Site 1
1399,Lambeth Team 15,Pathway 2,Division 1,Site 3
1337,Croydon Team 6,Pathway 1,Division 1,Site 2
1827,Lewisham Team 1,Pathway 2,Division 1,Site 1
1049,Lewisham Team 1,Pathway 3,Division 2,Site 1
1271,Southwark Team 11,Pathway 3,Division 2,Site 6
1991,Lambeth Team 14,Pathway 2,Division 1,Site 7
1740,Southwark Team 11,Pathway 1,Division 1,Site 8
1834,Lambeth Team 5,Pathway 2,Division 1,Site 3
1770,Lewisham Team 7,Pathway 1,Division 2,Site 1
1044,Croydon Team 6,Pathway 2,Division 1,Site 5
1312,Lambeth Team 4,Pathway 3,Division 1,Site 8
1596,Southwark Team 13,Pathway 3,Division 1,Site 11
1296,Lambeth Team 1,Pathway 2,Division 1,Site 11
1943,Lambeth Team 13,Pathway 2,Division 2,Site 4
1408,Croydon Team 3,Pathway 2,Division 1,Site 2
1332,Lambeth Team 3,Pathway 3,Division 1,Site 9
1741,Southwark Team 10,Pathway 3,Division 2,Site 9
1850,Croydon Team 2,Pathway 1,Division 2,Site 3
1867,Southwark Team 1,Pathway 2,Division 2,Site 7
1024,Southwark Team 6,Pathway 2,Division 2,Site 1
1721,Lambeth Team 13,Pathway 3,Division 2,Site 8
1213,Croydon Team 4,Pathway 2,Division 1,Site 8
1065,Lewisham Team 5,Pathway 1,Division 1,Site 3
1343,Lambeth Team 8,Pathway 2,Division 1,Site 5
1089,Croydon Team 4,Pathway 3,Division 2,Site 4
1831,Southwark Team 4,Pathway 2,Division 1,Site 7
1521,Croydon Team 7,Pathway 3,Division 2,Site 11
1962,Southwark Team 1,Pathway 1,Division 2,Site 7
1171,Lambeth Team 12,Pathway 1,Division 1,Site 11
1646,Southwark Team 5,Pathway 2,Division 2,Site 8
1868,Southwark Team 3,Pathway 2,Division 1,Site 5
1583,Lambeth Team 12,Pathway 3,Division 2,Site 11
1383,Croydon Team 8,Pathway 1,Division 1,Site 5
1501,Southwark Team 10,Pathway 1,Division 2,Site 8
1844,Lambeth Team 11,Pathway 1,Division 2,Site 5
1710,Southwark Team 7,Pathway 1,Division 2,Site 1
1963,Croydon Team 6,Pathway 2,Division 1,Site 11
1996,Lewisham Team 3,Pathway 2,Division 2,Site 3
1457,Lambeth Team 13,Pathway 3,Division 1,Site 2
1050,Croydon Team 6,Pathway 1,Division 2,Site 10
1696,Lewisham Team 7,Pathway 2,Division 1,Site 5
1915,Lambeth Team 12,Pathway 2,Division 2,Site 8
1722,Lewisham Team 8,Pathway 1,Division 1,Site 9
1612,Lewisham Team 5,Pathway 2,Division 2,Site 9
1510,Southwark Team 13,Pathway 3,Division 2,Site 1
1377,Southwark Team 12,Pathway 3,Division 2,Site 1
1980,Lewisham Team 8,Pathway 1,Division 1,Site 1
1731,Lambeth Team 13,Pathway 3,Division 2,Site 1
1540,Croydon Team 3,Pathway 2,Division 2,Site 9
1854,Lewisham Team 9,Pathway 3,Division 2,Site 1
1146,Southwark Team 12,Pathway 2,Division 1,Site 7
